protected: __int64 __cdecl CSortedIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::FindSorted(class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > const * __ptr64,__int64 & __ptr64)const __ptr64;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl CSortedIndirectArray<class CLibConstraintStructureItem>::FindSorted(class CLibConstraintStructureItem * __ptr64,__int64 & __ptr64)const __ptr64;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl CSortedIndirectArray<class CLibConstraintStructureItem>::FindSorted(class CLibConstraintStructureItem const * __ptr64,__int64 & __ptr64)const __ptr64;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl TArrayTemplate<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64>::ResizeAndInsert(__int64,__int64,class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64 const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl TArrayTemplate<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64>::ResizeAndInsert(__int64,__int64,class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64 const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl TArrayTemplate<class CLibConstraintStructureItem * __ptr64>::ResizeAndInsert(__int64,__int64,class CLibConstraintStructureItem * __ptr64 const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: bool __cdecl CLibClassFactoryItem::GetInsertionProperties(class CLibObjectConstraints * __ptr64,class NcGePoint3d & __ptr64,class NcGeVector3d & __ptr64,class NcGeVector3d & __ptr64,class NcGeVector3d & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: bool __cdecl CLibObjectUIDRegistry::ApplyParameters(class NcDbObjectId const & __ptr64,class CLibraryObject * __ptr64,class CParamsProtectionList * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: bool __cdecl CLibObjectUIDRegistry::ApplyParametersByLifecycleService(class NcDbObjectId const & __ptr64,class CLibraryObject * __ptr64,class CParamsProtectionList * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: class CLibraryObject * __ptr64 __cdecl CLibObjectUIDRegistry::GetLibraryObject(wchar_t const * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: int __cdecl CLibObjectConstraints::Load(class CXMLSchemaInStream & __ptr64,class CXMLAttrs & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: static bool __cdecl CLibClassFactoryItem::SetColor(class NcDbObject * __ptr64,class CLibSerializationContext * __ptr64);lcsLibManager.nrx;Exported Function;
protected: static bool __cdecl CLibManUtils::getApplication(struct InanoCADApplication * __ptr64 * __ptr64);lcsLibManager.nrx;Exported Function;
protected: static void __cdecl CLibManUtils::CheckAllItems(__int64,class CElement * __ptr64,class TArrayTemplate<class CIndexRecord<class CElement * __ptr64,__int64> > & __ptr64);lcsLibManager.nrx;Exported Function;
protected: static void __cdecl CLibManUtils::senderProc(void * __ptr64);lcsLibManager.nrx;Exported Function;
protected: virtual bool __cdecl CLibClassFactoryItem::InitContextFromConstraints(class CLibObjectConstraints & __ptr64,class CLibSerializationContext & __ptr64,class CParamsOwner & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: virtual int __cdecl CLibObjectConstraint::OnXMLTag(class CXMLSchemaInStream & __ptr64,int,wchar_t const * __ptr64,wchar_t const * __ptr64,class CXMLAttrs & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
