"public: virtual long __cdecl ATL::IDispatchImpl<struct IMDSObjects,&struct _GUID const IID_IMDSObjects,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetIDsOfNames(struct _GUID const & __ptr64,wchar_t * __ptr64 * __ptr64,unsigned int,unsigned long,long * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IMDSNodes,&struct _GUID const IID_IMDSNodes,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::Invoke(long,struct _GUID const & __ptr64,unsigned long,unsigned short,struct tagDISPPARAMS * __ptr64,struct tagVARIANT * __ptr64,struct tagEXCEPINFO * __ptr64,unsigned int * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IMDSNodes,&struct _GUID const IID_IMDSNodes,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetTypeInfoCount(unsigned int * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IMDSNodes,&struct _GUID const IID_IMDSNodes,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetTypeInfo(unsigned int,unsigned long,struct ITypeInfo * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IMDSNodes,&struct _GUID const IID_IMDSNodes,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetIDsOfNames(struct _GUID const & __ptr64,wchar_t * __ptr64 * __ptr64,unsigned int,unsigned long,long * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IElement,&struct _GUID const IID_IElement,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::Invoke(long,struct _GUID const & __ptr64,unsigned long,unsigned short,struct tagDISPPARAMS * __ptr64,struct tagVARIANT * __ptr64,struct tagEXCEPINFO * __ptr64,unsigned int * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IElement,&struct _GUID const IID_IElement,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetTypeInfoCount(unsigned int * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IElement,&struct _GUID const IID_IElement,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetTypeInfo(unsigned int,unsigned long,struct ITypeInfo * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IElement,&struct _GUID const IID_IElement,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetIDsOfNames(struct _GUID const & __ptr64,wchar_t * __ptr64 * __ptr64,unsigned int,unsigned long,long * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
public: virtual int __cdecl CoElementTemporary::EnableWrite(class CElement * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual int __cdecl CoElementPersistent::EnableWrite(class CElement * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
